BAR_CLUB,RESTAURANT,SERVICES,LEISURE_SPORTS,CULTURAL_SCHOOLS,PARKS_NATURE_RURAL,TRANSPORT_INFRASTRUCTURE,RESIDENTIAL
Tea Room,Jewish Restaurant,Eye Doctor,Recreation Center,Opera House,Resort,Airport Lounge,
Bubble Tea Shop,Australian Restaurant,Newsstand,Gymnastics Gym,College Academic Building,Pedestrian Plaza,Airport Terminal,
Creperie,English Restaurant,Daycare,Boxing Gym,Monument / Landmark,Campground,Plane,
Kofte Place,Kosher Restaurant,IT Services,General Entertainment,Street Art,Mountain,Airport Service,
Beer Store,Taiwanese Restaurant,Financial or Legal Service,Racetrack,Film Studio,,Train,
Boutique,Shanghai Restaurant,Cheese Shop,Pilates Studio,Arts & Entertainment,,Parking,
Gastropub,American Restaurant,Shoe Repair,Cycle Studio,Design Studio,,Border Crossing,
Whisky Bar,Soup Place,Auto Workshop,Basketball Stadium,College Theater,,Heliport,
Karaoke Bar,Vegetarian / Vegan Restaurant,Motel,Sauna / Steam Room,Outdoor Sculpture,,,
Salad Place,Sushi Restaurant,Hardware Store,Gym Pool,Music School,,,
Tiki Bar,Eastern European Restaurant,Bookstore,Skating Rink,School,,,
Pie Shop,New American Restaurant,Flower Shop,Go Kart Track,High School,,,
Food Stand,French Restaurant,Wine Bar,Surf Spot,TV Station,,,
Speakeasy,African Restaurant,Toy / Game Store,Climbing Gym,Memorial Site,,,
Gaming Cafe,Middle Eastern Restaurant,Tanning Salon,Weight Loss Center,Auditorium,,,
Burrito Place,Empanada Restaurant,Butcher,Rest Area,Science Museum,,,
Bed & Breakfast,Vietnamese Restaurant,Bike Shop,Golf Driving Range,Amphitheater,,,
Beach Bar,Paella Restaurant,Laundry Service,Mini Golf,Multiplex,,,
College Cafeteria,Theme Restaurant,Antique Shop,Gun Range,Middle School,,,
Dessert Shop,Peruvian Restaurant,Other Repair Shop,Bath House,Elementary School,,,
Ice Cream Shop,Southern / Soul Food Restaurant,Non-Profit,College Gym,Convention Center,,,
Donut Shop,Arepa Restaurant,Health Food Store,College Basketball Court,Cultural Center,,,
Sandwich Place,South Indian Restaurant,Comic Shop,Hockey Field,Synagogue,,,
Bagel Shop,Lebanese Restaurant,Event Service,Paintball Field,,,,
Nightclub,Turkish Restaurant,Veterinarian,Rock Climbing Spot,,,,
Coffee Shop,Noodle House,Animal Shelter,,,,,
Deli / Bodega,Cantonese Restaurant,Organic Grocery,,,,,
Café,Shabu-Shabu Restaurant,Jewelry Store,,,,,
Sports Bar,Szechuan Restaurant,Used Bookstore,,,,,
Breakfast Spot,Hotpot Restaurant,Massage Studio,,,,,
Cocktail Bar,Korean Restaurant,Pet Service,,,,,
Bar,Russian Restaurant,Motorcycle Shop,,,,,
Lounge,Malay Restaurant,Factory,,,,,
Beer Bar,Polish Restaurant,Pharmacy,,,,,
Pub,Ramen Restaurant,Mobile Phone Shop,,,,,
Food Truck,Varenyky restaurant,Bakery,,,,,
Frozen Yogurt Shop,Halal Restaurant,Bank,,,,,
Juice Bar,Tibetan Restaurant,Supermarket,,,,,
Beer Garden,Filipino Restaurant,Discount Store,,,,,
Hookah Bar,Cajun / Creole Restaurant,Cosmetics Shop,,,,,
Food & Drink Shop,Austrian Restaurant,Shopping Mall,,,,,
Snack Place,Caucasian Restaurant,Shoe Store,,,,,
Mac & Cheese Joint,Falafel Restaurant,Kids Store,,,,,
Cupcake Shop,South American Restaurant,Furniture / Home Store,,,,,
Dive Bar,Pakistani Restaurant,Paper / Office Supplies Store,,,,,
Food Court,Ethiopian Restaurant,Department Store,,,,,
Nightlife Spot,German Restaurant,Mattress Store,,,,,
Other Nightlife,Caribbean Restaurant,Video Game Store,,,,,
,Burger Joint,Accessories Store,,,,,
,Fast Food Restaurant,Clothing Store,,,,,
,Pizza Place,Grocery Store,,,,,
,Fried Chicken Joint,Men's Store,,,,,
,Chinese Restaurant,Miscellaneous Shop,,,,,
,Restaurant,Electronics Store,,,,,
,Dumpling Restaurant,Sporting Goods Shop,,,,,
,Seafood Restaurant,Business Service,,,,,
,BBQ Joint,Auto Garage,,,,,
,Mexican Restaurant,Liquor Store,,,,,
,Buffet,Wine Shop,,,,,
,Food,Hotel,,,,,
,Diner,Supplement Shop,,,,,
,Asian Restaurant,Women's Store,,,,,
,Wings Joint,Health & Beauty Service,,,,,
,Tapas Restaurant,Automotive Shop,,,,,
,Steakhouse,Shipping Store,,,,,
,Greek Restaurant,Home Service,,,,,
,Italian Restaurant,Warehouse Store,,,,,
,Japanese Restaurant,Thrift / Vintage Store,,,,,
,Thai Restaurant,Candy Store,,,,,
,Gourmet Shop,Rental Car Location,,,,,
,Latin American Restaurant,Pet Store,,,,,
,Spanish Restaurant,Convenience Store,,,,,
,Comfort Food Restaurant,Moving Target,,,,,
,Cuban Restaurant,Smoke Shop,,,,,
,Mediterranean Restaurant,Dry Cleaner,,,,,
,Indian Restaurant,Brewery,,,,,
,Gluten-free Restaurant,Construction & Landscaping,,,,,
,Kebab Restaurant,Fish Market,,,,,
,Dim Sum Restaurant,Lingerie Store,,,,,
,Afghan Restaurant,Fish & Chips Shop,,,,,
,Swiss Restaurant,Nail Salon,,,,,
,Romanian Restaurant,Martial Arts Dojo,,,,,
,,Optical Shop,,,,,
,,Farmers Market,,,,,
,,Gift Shop,,,,,
,,College Bookstore,,,,,
,,Auto Dealership,,,,,
,,Laundromat,,,,,
,,Market,,,,,
,,Hobby Shop,,,,,
,,Check Cashing Service,,,,,
,,Distillery,,,,,
,,Waste Facility,,,,,
,,Video Store,,,,,
,,Fruit & Vegetable Store,,,,,
,,Coworking Space,,,,,
,,Lawyer,,,,,
,,Salon / Barbershop,,,,,
,,Flea Market,,,,,
,,Medical Center,,,,,
,,Vape Store,,,,,
,,Tattoo Parlor,,,,,
,,Storage Facility,,,,,
,,Post Office,,,,,
,,Professional & Other Places,,,,,
,,Carpet Store,,,,,
,,Bridal Shop,,,,,
,,Winery,,,,,
,,Leather Goods Store,,,,,
