BAR_CLUB,RESTAURANT,SERVICES,LEISURE_SPORTS,CULTURAL_SCHOOLS,PARKS_NATURE_RURAL,TRANSPORT_INFRASTRUCTURE,RESIDENTIAL
,,Stationery Store,,,,,
,,Coworking Space,,,,,
,,Antique Shop,,,,,
,,Baby Store,,,,,
,,Check Cashing Service,,,,,
,,Storage Facility,,,,,
,,Kitchen Supply Store,,,,,
,,Rental Service,,,,,
,,Automotive Shop,,,,,
,,Auto Garage,,,,,
,,Mattress Store,,,,,
,,Health & Beauty Service,,,,,
,,Home Service,,,,,
,,Flea Market,,,,,
,,Organic Grocery,,,,,
,,Motorcycle Shop,,,,,
,,Tanning Salon,,,,,
